algorithms,U statistic,p-value
mls_ils,53.0,4.817514052841807e-07
mls_gls,254.5,0.2618571169759225
mls_df_mls,420.5,0.03546185896009073
ils_gls,562.0,1.2642697710620725e-06
ils_df_mls,589.5,7.230125288991725e-08
gls_df_mls,521.5,4.330095983206012e-05
