mls,ils,gls,df_mls
12,27,7,10
12,19,10,11
12,11,7,9
13,16,8,14
18,29,6,10
17,33,7,13
13,28,8,12
12,20,5,11
16,19,2,13
17,25,9,12
12,30,9,10
14,22,5,13
12,34,4,10
15,22,6,16
10,21,6,12
14,17,9,13
15,26,5,15
12,13,4,11
18,17,5,9
15,24,3,7
15,17,3,13
12,23,7,12
15,24,5,10
11,21,5,15
16,15,6,13
